Datum von;Datum bis;Deutschland/Luxemburg [€/MWh] Berechnete Auflösungen
01.01.2024 00:00;01.01.2024 01:00;100,55
01.01.2024 01:00;01.01.2024 02:00;83,80
01.01.2024 02:00;01.01.2024 03:00;105,92
01.01.2024 03:00;01.01.2024 04:00;110,13
01.01.2024 04:00;01.01.2024 05:00;78,83
01.01.2024 05:00;01.01.2024 06:00;91,88
01.01.2024 06:00;01.01.2024 07:00;116,29
01.01.2024 07:00;01.01.2024 08:00;118,95
01.01.2024 08:00;01.01.2024 09:00;128,73
01.01.2024 09:00;01.01.2024 10:00;121,51
01.01.2024 10:00;01.01.2024 11:00;142,69
01.01.2024 11:00;01.01.2024 12:00;141,44
01.01.2024 12:00;01.01.2024 13:00;133,20
01.01.2024 13:00;01.01.2024 14:00;146,20
01.01.2024 14:00;01.01.2024 15:00;138,27
01.01.2024 15:00;01.01.2024 16:00;122,53
01.01.2024 16:00;01.01.2024 17:00;138,57
01.01.2024 17:00;01.01.2024 18:00;125,11
01.01.2024 18:00;01.01.2024 19:00;148,89
01.01.2024 19:00;01.01.2024 20:00;135,68
01.01.2024 20:00;01.01.2024 21:00;126,82
01.01.2024 21:00;01.01.2024 22:00;110,45
01.01.2024 22:00;01.01.2024 23:00;123,36
01.01.2024 23:00;02.01.2024 00:00;99,81
02.01.2024 00:00;02.01.2024 01:00;91,85
02.01.2024 01:00;02.01.2024 02:00;92,15
02.01.2024 02:00;02.01.2024 03:00;103,40
02.01.2024 03:00;02.01.2024 04:00;103,33
02.01.2024 04:00;02.01.2024 05:00;107,30
02.01.2024 05:00;02.01.2024 06:00;112,78
02.01.2024 06:00;02.01.2024 07:00;140,55
02.01.2024 07:00;02.01.2024 08:00;117,96
02.01.2024 08:00;02.01.2024 09:00;122,89
02.01.2024 09:00;02.01.2024 10:00;122,08
02.01.2024 10:00;02.01.2024 11:00;139,63
02.01.2024 11:00;02.01.2024 12:00;145,75
02.01.2024 12:00;02.01.2024 13:00;131,14
02.01.2024 13:00;02.01.2024 14:00;122,69
02.01.2024 14:00;02.01.2024 15:00;122,86
02.01.2024 15:00;02.01.2024 16:00;140,75
02.01.2024 16:00;02.01.2024 17:00;143,17
02.01.2024 17:00;02.01.2024 18:00;143,24
02.01.2024 18:00;02.01.2024 19:00;130,46
02.01.2024 19:00;02.01.2024 20:00;139,16
02.01.2024 20:00;02.01.2024 21:00;130,53
02.01.2024 21:00;02.01.2024 22:00;121,34
02.01.2024 22:00;02.01.2024 23:00;119,25
02.01.2024 23:00;03.01.2024 00:00;104,45
03.01.2024 00:00;03.01.2024 01:00;105,23
03.01.2024 01:00;03.01.2024 02:00;97,28
03.01.2024 02:00;03.01.2024 03:00;100,58
03.01.2024 03:00;03.01.2024 04:00;106,61
03.01.2024 04:00;03.01.2024 05:00;84,95
03.01.2024 05:00;03.01.2024 06:00;103,86
